,總指數,一.食物類,二.衣著類,三.居住類,四.交通及通訊類,五.醫藥保健類,六.教養娛樂類,七.雜項類
2012-M9,94.12,85.7,89.84,97.3,104.75,92.83,98.43,88.98
2012-M10,94.05,84.46,107.84,96.27,104.74,93.1,98.54,88.17
2012-M11,93.35,83.0,105.05,96.24,104.12,93.25,97.75,88.72
2012-M12,93.58,83.93,101.99,96.26,104.15,93.63,97.64,89.09
2013-M1,93.41,83.84,96.94,96.23,104.42,93.24,97.98,88.84
2013-M2,93.85,82.51,93.12,96.39,105.71,93.42,100.8,92.62
2013-M3,92.5,81.26,91.63,96.48,104.52,93.74,97.59,88.81
2013-M4,93.08,81.89,101.47,96.48,103.95,93.66,98.16,89.1
2013-M5,93.25,83.2,100.03,96.48,103.52,93.78,97.77,88.62
2013-M6,93.72,83.6,97.88,97.54,103.52,93.96,98.26,89.38
2013-M7,93.58,82.98,94.9,97.59,103.23,93.97,99.7,88.74
2013-M8,93.69,83.66,91.21,97.66,103.66,94.0,99.38,88.99
2013-M9,94.92,87.73,89.92,97.8,104.12,93.98,99.17,89.33
2013-M10,94.66,86.93,103.89,96.85,103.47,93.69,98.53,88.28
2013-M11,93.98,85.24,102.09,96.99,103.1,93.9,97.7,88.52
2013-M12,93.89,85.06,99.25,97.07,103.39,94.06,97.37,89.19
2014-M1,94.18,84.67,95.81,96.98,103.47,93.92,98.66,93.44
2014-M2,93.81,84.64,92.52,97.07,103.48,94.18,98.76,89.85
2014-M3,93.99,85.86,90.67,97.18,103.61,94.38,97.51,90.16
2014-M4,94.62,86.11,103.02,97.21,103.35,94.49,98.26,90.41
2014-M5,94.76,86.79,101.92,97.21,103.39,94.33,98.28,90.22
2014-M6,95.25,86.78,100.04,98.67,103.72,94.6,98.79,90.75
2014-M7,95.22,86.53,97.31,98.75,103.89,94.58,99.76,90.1
2014-M8,95.64,88.35,93.69,99.09,103.6,94.49,99.62,89.97
2014-M9,95.59,88.97,92.8,99.12,102.72,94.65,98.73,90.56
